Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
28,Harrison Barnes,PF,31,SAC,55,55,29.6,4.2,8.7,.482,1.9,4.8,.395,2.3,3.9,.589,.591,1.8,2.3,.815,0.8,2.2,3.0,1.1,0.7,0.2,0.7,1.3,12.1
29,Scottie Barnes,SG,22,TOR,57,57,35.1,7.5,15.7,.476,1.7,5.0,.350,5.7,10.7,.534,.531,3.3,4.3,.782,2.3,5.8,8.2,6.0,1.2,1.4,2.7,2.0,20.0
30,RJ Barrett,SG,23,TOT,46,46,31.2,7.0,14.7,.473,1.5,4.5,.346,5.4,10.2,.529,.526,3.6,4.8,.740,0.9,4.5,5.4,3.0,0.5,0.4,1.9,2.2,19.0
30,RJ Barrett,SG,23,NYK,26,26,29.5,6.3,14.9,.423,1.7,5.0,.331,4.7,9.9,.469,.478,4.0,4.8,.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2
30,RJ Barrett,SG,23,TOR,20,20,33.5,7.8,14.4,.542,1.4,3.8,.373,6.4,10.7,.601,.590,3.1,5.0,.626,1.2,5.7,6.8,3.7,0.7,0.4,2.1,2.7,20.1
31,Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,.725,0.0,0.1,.000,1.5,2.1,.744,.725,0.3,0.3,.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3
32,Emoni Bates,SF,20,CLE,10,0,7.6,0.6,2.5,.240,0.5,2.0,.250,0.1,0.5,.200,.340,0.1,0.2,.500,0.1,0.9,1.0,0.6,0.1,0.2,0.1,0.5,1.8
33,Keita Bates-Diop,SF,28,TOT,42,8,14.7,1.6,3.7,.439,0.5,1.5,.323,1.1,2.1,.522,.506,0.6,0.9,.722,0.7,1.7,2.5,0.8,0.5,0.5,0.3,0.8,4.4
33,Keita Bates-Diop,SF,28,PHO,39,8,15.3,1.6,3.8,.427,0.5,1.6,.313,1.1,2.2,.512,.493,0.7,0.9,.722,0.8,1.8,2.6,0.9,0.6,0.5,0.3,0.8,4.5
33,Keita Bates-Diop,SF,28,BRK,3,0,6.7,1.3,1.7,.800,0.3,0.3,1.000,1.0,1.3,.750,.900,0.0,0.0,,0.0,0.7,0.7,0.0,0.3,0.3,0.3,0.0,3.0
34,Nicolas Batum,PF,35,TOT,36,28,24.0,1.9,3.8,.519,1.2,2.7,.454,0.7,1.1,.684,.681,0.3,0.4,.643,1.2,2.6,3.7,2.2,0.6,0.7,0.6,2.0,5.4
34,Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
34,Nicolas Batum,PF,35,PHI,33,28,24.5,2.0,3.8,.528,1.3,2.7,.467,0.8,1.1,.676,.693,0.3,0.4,.643,1.3,2.6,3.8,2.2,0.6,0.6,0.6,2.1,5.6
35,Darius Bazley,PF,23,PHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,Bradley Beal,SG,30,PHO,30,30,32.6,7.1,14.4,.495,1.6,4.5,.363,5.5,9.9,.556,.552,2.3,3.0,.775,0.8,3.4,4.3,4.5,0.9,0.3,2.4,2.6,18.2
37,Malik Beasley,SG,27,MIL,55,55,29.6,4.1,8.8,.467,2.9,6.5,.444,1.2,2.3,.532,.632,0.3,0.5,.640,0.7,3.2,3.9,1.4,0.8,0.1,0.7,2.1,11.5
38,MarJon Beauchamp,SF,23,MIL,40,1,14.2,1.8,3.7,.477,0.7,1.7,.391,1.1,2.0,.550,.567,0.5,0.7,.679,0.6,1.8,2.3,0.7,0.3,0.2,0.7,1.3,4.7
39,Jules Bernard,SG,24,WAS,6,0,4.7,0.5,2.0,.250,0.2,1.3,.125,0.3,0.7,.500,.292,0.0,0.0,,0.3,0.5,0.8,0.8,0.2,0.2,0.3,0.7,1.2
40,Dāvis Bertāns,PF,31,TOT,19,0,7.1,0.9,2.3,.409,0.9,2.2,.429,0.0,0.1,.000,.614,0.7,0.8,.933,0.1,0.6,0.7,0.6,0.3,0.2,0.1,0.8,3.6
40,Dāvis Bertāns,PF,31,OKC,15,0,6.1,0.7,1.7,.385,0.7,1.6,.417,0.0,0.1,.000,.577,0.9,1.0,.933,0.1,0.5,0.7,0.6,0.2,0.2,0.1,0.7,2.9
40,Dāvis Bertāns,PF,31,CHO,4,0,10.8,2.0,4.5,.444,2.0,4.5,.444,0.0,0.0,,.667,0.0,0.0,,0.0,0.8,0.8,0.5,0.5,0.0,0.0,1.3,6.0
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Patrick Beverley,PG,35,TOT,52,5,19.1,2.1,5.0,.425,0.8,2.3,.328,1.4,2.7,.507,.500,1.0,1.3,.800,0.7,2.3,3.0,3.0,0.5,0.4,1.0,1.8,6.0
41,Patrick Beverley,PG,35,PHI,47,5,19.6,2.2,5.1,.432,0.7,2.3,.321,1.5,2.8,.523,.504,1.1,1.3,.810,0.6,2.4,3.1,3.1,0.5,0.4,1.0,1.8,6.3
41,Patrick Beverley,PG,35,MIL,5,0,14.8,1.4,4.0,.350,0.8,2.0,.400,0.6,2.0,.300,.450,0.2,0.4,.500,0.8,1.4,2.2,2.6,0.6,0.2,1.0,2.0,3.8
42,Saddiq Bey,SF,24,ATL,55,43,32.6,4.6,10.9,.422,1.8,5.7,.322,2.8,5.3,.529,.505,2.6,3.1,.831,2.7,3.9,6.6,1.5,0.9,0.1,0.8,1.5,13.6
